lga,name,postcode,assault_rate
ALBURY CITY,ALBURY,2640,1376.2
ALBURY CITY,EAST ALBURY,2640,1376.2
ALBURY CITY,ETTAMOGAH,2640,1376.2
ALBURY CITY,GLENROY,2640,1376.2
ALBURY CITY,HAMILTON VALLEY,2641,1376.2
ALBURY CITY,JINDERA,2642,1376.2
ALBURY CITY,LAKE HUME VILLAGE,3691,1376.2
ALBURY CITY,LAVINGTON,2641,1376.2
ALBURY CITY,NORTH ALBURY,2640,1376.2
ALBURY CITY,SOUTH ALBURY,2640,1376.2
ALBURY CITY,SPLITTERS CREEK,2640,1376.2
ALBURY CITY,SPRINGDALE HEIGHTS,2641,1376.2
ALBURY CITY,TABLE TOP,2640,1376.2
ALBURY CITY,THURGOONA,2640,1376.2
ALBURY CITY,WEST ALBURY,2640,1376.2
ALBURY CITY,WIRLINGA,2640,1376.2
ARMIDALE REGIONAL,ABERFOYLE,2350,1393.8
ARMIDALE REGIONAL,ARMIDALE,2350,1393.8
ARMIDALE REGIONAL,BACKWATER,2365,1393.8
ARMIDALE REGIONAL,BALD BLAIR,2365,1393.8
ARMIDALE REGIONAL,BALDERSLEIGH,2365,1393.8
ARMIDALE REGIONAL,BEN LOMOND,2365,1393.8
ARMIDALE REGIONAL,BLACK MOUNTAIN,2365,1393.8
ARMIDALE REGIONAL,BOOROLONG,2350,1393.8
ARMIDALE REGIONAL,BRIARBROOK,2365,1393.8
ARMIDALE REGIONAL,BROCKLEY,2365,1393.8
ARMIDALE REGIONAL,BRUSHY CREEK,2365,1393.8
ARMIDALE REGIONAL,CARRAI,2440,1393.8
ARMIDALE REGIONAL,CASTLE DOYLE,2350,1393.8
ARMIDALE REGIONAL,DANGARSLEIGH,2350,1393.8
ARMIDALE REGIONAL,DONALD CREEK,2350,1393.8
ARMIDALE REGIONAL,DUMARESQ,2350,1393.8
ARMIDALE REGIONAL,DUVAL,2350,1393.8
ARMIDALE REGIONAL,EBOR,2453,1393.8
ARMIDALE REGIONAL,ENMORE,2350,1393.8
ARMIDALE REGIONAL,FALCONER,2365,1393.8
ARMIDALE REGIONAL,GREEN HILLS,2365,1393.8
ARMIDALE REGIONAL,GUYRA,2365,1393.8
ARMIDALE REGIONAL,HERNANI,2453,1393.8
ARMIDALE REGIONAL,HILLGROVE,2350,1393.8
ARMIDALE REGIONAL,JEOGLA,2350,1393.8
ARMIDALE REGIONAL,KELLYS PLAINS,2350,1393.8
ARMIDALE REGIONAL,KOOKABOOKRA,2370,1393.8
ARMIDALE REGIONAL,LLANGOTHLIN,2365,1393.8
ARMIDALE REGIONAL,LOWER CREEK,2440,1393.8
ARMIDALE REGIONAL,LYNDHURST,2350,1393.8
ARMIDALE REGIONAL,METZ,2350,1393.8
ARMIDALE REGIONAL,NEW VALLEY,2365,1393.8
ARMIDALE REGIONAL,OBAN,2365,1393.8
ARMIDALE REGIONAL,PUDDLEDOCK,2350,1393.8
ARMIDALE REGIONAL,SOUTH GUYRA,2365,1393.8
ARMIDALE REGIONAL,TENTERDEN,2365,1393.8
ARMIDALE REGIONAL,THALGARRAH,2350,1393.8
ARMIDALE REGIONAL,THE GULF,2365,1393.8
ARMIDALE REGIONAL,TILBUSTER,2350,1393.8
ARMIDALE REGIONAL,TINGHA,2369,1393.8
ARMIDALE REGIONAL,TUBBAMURRA,2365,1393.8
ARMIDALE REGIONAL,WANDSWORTH,2365,1393.8
ARMIDALE REGIONAL,WARDS MISTAKE,2350,1393.8
ARMIDALE REGIONAL,WOLLOMOMBI,2350,1393.8
ARMIDALE REGIONAL,WONGWIBINDA,2350,1393.8
BALLINA,ALSTONVALE,2477,674.5
BALLINA,ALSTONVILLE,2477,674.5
BALLINA,BAGOTVILLE,2477,674.5
BALLINA,BALLINA,2478,674.5
BALLINA,BROKEN HEAD,2481,674.5
BALLINA,BROOKLET,2479,674.5
BALLINA,CABBAGE TREE ISLAND,2477,674.5
BALLINA,COOLGARDIE,2478,674.5
BALLINA,CUMBALUM,2478,674.5
BALLINA,DALWOOD,2477,674.5
BALLINA,EAST BALLINA,2478,674.5
BALLINA,EAST WARDELL,2477,674.5
BALLINA,EMPIRE VALE,2478,674.5
BALLINA,FERNLEIGH,2479,674.5
BALLINA,GOAT ISLAND,2477,674.5
BALLINA,KEITH HALL,2478,674.5
BALLINA,KINVARA,2478,674.5
BALLINA,KNOCKROW,2479,674.5
BALLINA,LENNOX HEAD,2478,674.5
BALLINA,LYNWOOD,2477,674.5
BALLINA,MAROM CREEK,2480,674.5
BALLINA,MCLEANS RIDGES,2480,674.5
BALLINA,MEERSCHAUM VALE,2477,674.5
BALLINA,NEWRYBAR,2479,674.5
BALLINA,PATCHS BEACH,2478,674.5
BALLINA,PEARCES CREEK,2477,674.5
BALLINA,PIMLICO,2478,674.5
BALLINA,PIMLICO ISLAND,2478,674.5
BALLINA,ROUS,2477,674.5
BALLINA,ROUS MILL,2477,674.5
BALLINA,SKENNARS HEAD,2478,674.5
BALLINA,SOUTH BALLINA,2478,674.5
BALLINA,TEVEN,2478,674.5
BALLINA,TINTENBAR,2478,674.5
BALLINA,TUCKOMBIL,2477,674.5
BALLINA,URALBA,2477,674.5
BALLINA,WARDELL,2477,674.5
BALLINA,WEST BALLINA,2478,674.5
BALLINA,WOLLONGBAR,2477,674.5
BALRANALD,ARUMPO,2715,n.c.
BALRANALD,BALRANALD,2715,n.c.
BALRANALD,BOOLIGAL,2711,n.c.
BALRANALD,CLARE,2711,n.c.
BALRANALD,CORRONG,2711,n.c.
BALRANALD,EUSTON,2737,n.c.
BALRANALD,HATFIELD,2715,n.c.
BALRANALD,IVANHOE,2878,n.c.
BALRANALD,KYALITE,2715,n.c.
BALRANALD,MOSSGIEL,2878,n.c.
BALRANALD,MUNGO,2715,n.c.
BALRANALD,OXLEY,2711,n.c.
BATHURST REGIONAL,ABERCROMBIE,2795,1437.5
BATHURST REGIONAL,ABERCROMBIE RIVER,2795,1437.5
BATHURST REGIONAL,ARKELL,2795,1437.5
BATHURST REGIONAL,BALD RIDGE,2795,1437.5
BATHURST REGIONAL,BATHAMPTON,2795,1437.5
BATHURST REGIONAL,BATHURST,2795,1437.5
BATHURST REGIONAL,BILLYWILLINGA,2795,1437.5
BATHURST REGIONAL,BREWONGLE,2795,1437.5
BATHURST REGIONAL,BRUINBUN,2795,1437.5
BATHURST REGIONAL,CALOOLA,2795,1437.5
BATHURST REGIONAL,CHARLTON,2795,1437.5
BATHURST REGIONAL,CLEAR CREEK,2795,1437.5
BATHURST REGIONAL,COLO,2795,1437.5
BATHURST REGIONAL,COPPERHANNIA,2795,1437.5
BATHURST REGIONAL,COW FLAT,2795,1437.5
BATHURST REGIONAL,CRUDINE,2795,1437.5
BATHURST REGIONAL,CURRAGH,2795,1437.5
BATHURST REGIONAL,DUNKELD,2795,1437.5
BATHURST REGIONAL,DURAMANA,2795,1437.5
BATHURST REGIONAL,EGLINTON,2795,1437.5
BATHURST REGIONAL,EVANS PLAINS,2795,1437.5
BATHURST REGIONAL,FITZGERALDS MOUNT,2799,1437.5
BATHURST REGIONAL,FITZGERALDS VALLEY,2795,1437.5
BATHURST REGIONAL,FOREST GROVE,2795,1437.5
BATHURST REGIONAL,FOSTERS VALLEY,2795,1437.5
BATHURST REGIONAL,FREEMANTLE,2795,1437.5
BATHURST REGIONAL,GEMALLA,2795,1437.5
BATHURST REGIONAL,GEORGES PLAINS,2795,1437.5
BATHURST REGIONAL,GLANMIRE,2795,1437.5
BATHURST REGIONAL,GORMANS HILL,2795,1437.5
BATHURST REGIONAL,GOWAN,2795,1437.5
BATHURST REGIONAL,HILL END,2850,1437.5
BATHURST REGIONAL,KELSO,2795,1437.5
BATHURST REGIONAL,KILLONGBUTTA,2795,1437.5
BATHURST REGIONAL,KIRKCONNELL,2795,1437.5
BATHURST REGIONAL,LAFFING WATERS,2795,1437.5
BATHURST REGIONAL,LIMEKILNS,2795,1437.5
BATHURST REGIONAL,LLANARTH,2795,1437.5
BATHURST REGIONAL,LOCKSLEY,2795,1437.5
BATHURST REGIONAL,MEADOW FLAT,2795,1437.5
BATHURST REGIONAL,MILKERS FLAT,2795,1437.5
BATHURST REGIONAL,MILLAH MURRAH,2795,1437.5
BATHURST REGIONAL,MITCHELL,2795,1437.5
BATHURST REGIONAL,MOUNT PANORAMA,2795,1437.5
BATHURST REGIONAL,MOUNT RANKIN,2795,1437.5
BATHURST REGIONAL,NAPOLEON REEF,2795,1437.5
BATHURST REGIONAL,O'CONNELL,2795,1437.5
BATHURST REGIONAL,ORTON PARK,2795,1437.5
BATHURST REGIONAL,PALING YARDS,2795,1437.5
BATHURST REGIONAL,PEEL,2795,1437.5
BATHURST REGIONAL,PERTHVILLE,2795,1437.5
BATHURST REGIONAL,RAGLAN,2795,1437.5
BATHURST REGIONAL,ROBIN HILL,2795,1437.5
BATHURST REGIONAL,ROCK FOREST,2795,1437.5
BATHURST REGIONAL,ROCKLEY,2795,1437.5
BATHURST REGIONAL,ROCKLEY MOUNT,2795,1437.5
BATHURST REGIONAL,SALLYS FLAT,2850,1437.5
BATHURST REGIONAL,SOFALA,2795,1437.5
BATHURST REGIONAL,SOUTH BATHURST,2795,1437.5
BATHURST REGIONAL,STEWARTS MOUNT,2795,1437.5
BATHURST REGIONAL,SUNNY CORNER,2795,1437.5
BATHURST REGIONAL,TAMBAROORA,2850,1437.5
BATHURST REGIONAL,TANNAS MOUNT,2795,1437.5
BATHURST REGIONAL,TARANA,2787,1437.5
BATHURST REGIONAL,THE LAGOON,2795,1437.5
BATHURST REGIONAL,THE ROCKS,2795,1437.5
BATHURST REGIONAL,TRIANGLE FLAT,2795,1437.5
BATHURST REGIONAL,TRUNKEY CREEK,2795,1437.5
BATHURST REGIONAL,TURONDALE,2795,1437.5
BATHURST REGIONAL,UPPER TURON,2795,1437.5
BATHURST REGIONAL,VITTORIA,2799,1437.5
BATHURST REGIONAL,WALANG,2795,1437.5
BATHURST REGIONAL,WAMBOOL,2795,1437.5
BATHURST REGIONAL,WATTLE FLAT,2795,1437.5
BATHURST REGIONAL,WATTON,2795,1437.5
BATHURST REGIONAL,WEST BATHURST,2795,1437.5
BATHURST REGIONAL,WHITE ROCK,2795,1437.5
BATHURST REGIONAL,WIAGDON,2795,1437.5
BATHURST REGIONAL,WIMBLEDON,2795,1437.5
BATHURST REGIONAL,WINBURNDALE,2795,1437.5
BATHURST REGIONAL,WINDRADYNE,2795,1437.5
BATHURST REGIONAL,WISEMANS CREEK,2795,1437.5
BATHURST REGIONAL,YARRAS,2795,1437.5
BATHURST REGIONAL,YETHOLME,2795,1437.5
BAYSIDE,ARNCLIFFE,2205,590.3
BAYSIDE,BANKSIA,2216,590.3
BAYSIDE,BANKSMEADOW,2019,590.3
BAYSIDE,BARDWELL PARK,2207,590.3
BAYSIDE,BARDWELL VALLEY,2207,590.3
BAYSIDE,BEXLEY,2207,590.3
BAYSIDE,BEXLEY NORTH,2207,590.3
BAYSIDE,BOTANY,2019,590.3
BAYSIDE,BOTANY BAY,,590.3
BAYSIDE,BRIGHTON-LE-SANDS,2216,590.3
BAYSIDE,CARLTON,2218,590.3
